id,code,name,district_id,id,name,code,region_divisions_id,id,name,code
170,MMR009015,Kamma,68,68,Thayet,MMR009D003,7,7,Magway,MGY
171,MMR009016,Aunglan,68,68,Thayet,MMR009D003,7,7,Magway,MGY
172,MMR009017,Sinbaungwe,68,68,Thayet,MMR009D003,7,7,Magway,MGY
173,MMR009018,Pakokku,52,52,Pakokku,MMR009D004,7,7,Magway,MGY
174,MMR009019,Yesagyo,52,52,Pakokku,MMR009D004,7,7,Magway,MGY
175,MMR009020,Myaing,52,52,Pakokku,MMR009D004,7,7,Magway,MGY
176,MMR009021,Pauk,52,52,Pakokku,MMR009D004,7,7,Magway,MGY
177,MMR009022,Seikphyu,52,52,Pakokku,MMR009D004,7,7,Magway,MGY
178,MMR009023,Gangaw,6,6,Gangaw,MMR009D005,7,7,Magway,MGY
179,MMR009024,Tilin,6,6,Gangaw,MMR009D005,7,7,Magway,MGY
180,MMR009025,Saw,6,6,Gangaw,MMR009D005,7,7,Magway,MGY
181,MMR009025702,"Kyaukhtu ",6,6,Gangaw,MMR009D005,7,7,Magway,MGY
182,MMR010001,Aungmyaythazan,29,29,Mandalay,MMR010D001,8,8,Mandalay,MDY
183,MMR010002,Chanayethazan,29,29,Mandalay,MMR010D001,8,8,Mandalay,MDY
184,MMR010003,Mahaaungmyay,29,29,Mandalay,MMR010D001,8,8,Mandalay,MDY
185,MMR010004,Chanmyathazi,29,29,Mandalay,MMR010D001,8,8,Mandalay,MDY
186,MMR010005,Pyigyitagon,29,29,Mandalay,MMR010D001,8,8,Mandalay,MDY
187,MMR010006,Amarapura,29,29,Mandalay,MMR010D001,8,8,Mandalay,MDY
188,MMR010007,Patheingyi,29,29,Mandalay,MMR010D001,8,8,Mandalay,MDY
189,MMR010008,Pyinoolwin,57,57,Pyinoolwin,MMR010D002,8,8,Mandalay,MDY
190,MMR010009,Madaya,57,57,Pyinoolwin,MMR010D002,8,8,Mandalay,MDY
191,MMR010010,Singu,57,57,Pyinoolwin,MMR010D002,8,8,Mandalay,MDY
192,MMR010011,Mogoke,57,57,Pyinoolwin,MMR010D002,8,8,Mandalay,MDY
193,MMR010012,Thabeikkyin,57,57,Pyinoolwin,MMR010D002,8,8,Mandalay,MDY
194,MMR010012702,Takaung,57,57,Pyinoolwin,MMR010D002,8,8,Mandalay,MDY
195,MMR010013,Kyaukse,21,21,Kyaukse,MMR010D003,8,8,Mandalay,MDY
196,MMR010014,Sintgaing,21,21,Kyaukse,MMR010D003,8,8,Mandalay,MDY
197,MMR010015,Myittha,21,21,Kyaukse,MMR010D003,8,8,Mandalay,MDY
198,MMR010016,Tada-U,21,21,Kyaukse,MMR010D003,8,8,Mandalay,MDY
199,MMR010017,Myingyan,47,47,Myingyan,MMR010D004,8,8,Mandalay,MDY
200,MMR010018,Taungtha,47,47,Myingyan,MMR010D004,8,8,Mandalay,MDY
201,MMR010019,Natogyi,47,47,Myingyan,MMR010D004,8,8,Mandalay,MDY
202,MMR010020,Kyaukpadaung,47,47,Myingyan,MMR010D004,8,8,Mandalay,MDY
203,MMR010021,Ngazun,47,47,Myingyan,MMR010D004,8,8,Mandalay,MDY
204,MMR010022,Nyaung-U,51,51,Nyaung-U,MMR010D005,8,8,Mandalay,MDY
205,MMR010022703,Ngathayauk,51,51,Nyaung-U,MMR010D005,8,8,Mandalay,MDY
206,MMR010023,Yamethin,69,69,Yamethin,MMR010D006,8,8,Mandalay,MDY
207,MMR010024,Pyawbwe,69,69,Yamethin,MMR010D006,8,8,Mandalay,MDY
208,MMR010028,Meiktila,35,35,Meiktila,MMR010D007,8,8,Mandalay,MDY
209,MMR010029,Mahlaing,35,35,Meiktila,MMR010D007,8,8,Mandalay,MDY
210,MMR010030,Thazi,35,35,Meiktila,MMR010D007,8,8,Mandalay,MDY
211,MMR010031,Wundwin,35,35,Meiktila,MMR010D007,8,8,Mandalay,MDY
212,MMR011001,Mawlamyine,34,34,Mawlamyine,MMR011D001,9,9,Mon,MON
213,MMR011002,Kyaikmaraw,34,34,Mawlamyine,MMR011D001,9,9,Mon,MON
214,MMR011003,Chaungzon,34,34,Mawlamyine,MMR011D001,9,9,Mon,MON
215,MMR011004,Thanbyuzayat,34,34,Mawlamyine,MMR011D001,9,9,Mon,MON
216,MMR011005,Mudon,34,34,Mawlamyine,MMR011D001,9,9,Mon,MON
217,MMR011006,Ye,34,34,Mawlamyine,MMR011D001,9,9,Mon,MON
218,MMR011006702,Lamaing,34,34,Mawlamyine,MMR011D001,9,9,Mon,MON
219,MMR011006703,Khawzar,34,34,Mawlamyine,MMR011D001,9,9,Mon,MON
220,MMR011007,Thaton,66,66,Thaton,MMR011D002,9,9,Mon,MON
221,MMR011008,Paung,66,66,Thaton,MMR011D002,9,9,Mon,MON
222,MMR011009,Kyaikto,66,66,Thaton,MMR011D002,9,9,Mon,MON
223,MMR011010,Bilin,66,66,Thaton,MMR011D002,9,9,Mon,MON
224,MMR012001,Sittwe,60,60,Sittwe,MMR012D001,11,11,Rakhine,RKE
225,MMR012002,Ponnagyun,60,60,Sittwe,MMR012D001,11,11,Rakhine,RKE
